Movie Count,Tot_Profit,Avg_Profit,Max_Profit,Min_Profit,Tot_Rev,Avg_Rev,Max_Rev,Min_Rev,Tot_Bugd,Avg_Budg,Max_Budg,Min_Budg,Avg_ROI,Max_ROI,Min_ROI,Avg_RT_Ascore,Max_RT_Ascore,Min_RT_Ascore
9,-3127241.0,-347471.22222222225,37064915.0,-36585286.0,185372759.0,20596973.222222224,45064915.0,2402004.0,188500000.0,20944444.444444444,50000000.0,1500000.0,1.5290431957834758,9.994053333333333,-0.8665553333333333,7.688888888888889,8.6,7.0
9,372696989.0,41410776.55555555,115103595.0,2587643.0,672696989.0,74744109.8888889,145103595.0,42587643.0,300000000.0,33333333.333333332,55000000.0,11000000.0,1.9130477913859327,8.323727636363637,0.064691075,6.888888888888889,7.4,5.6
9,330636802.0,36737422.44444445,132157400.0,-37894825.0,557636802.0,61959644.666666664,150157400.0,6105175.0,227000000.0,25222222.222222224,44000000.0,8000000.0,2.16625513535997,7.342077777777778,-0.8612460227272727,6.977777777777778,8.2,6.0
9,350594124.0,38954902.666666664,119253986.0,-19696928.0,819594124.0,91066013.77777778,147253986.0,30303072.0,469000000.0,52111111.11111111,140000000.0,15000000.0,1.5428757215517963,4.259070928571429,-0.39393856,7.444444444444445,8.8,6.2
9,185534272.0,26504896.0,263845172.0,-153198964.0,1331534272.0,190219181.7142857,412845172.0,36392502.0,1146000000.0,163714285.7142857,250000000.0,82000000.0,0.122781938055731,1.770772966442953,-0.76599482,7.111111111111111,9.2,5.4
9,23927464.0,2658607.111111111,56368160.0,-62823627.0,452887464.0,50320829.333333336,128261724.0,2339957.0,428960000.0,47662222.222222224,104000000.0,960000.0,0.7907433119924636,4.054692666666667,-0.62823627,7.977777777777778,8.6,7.0
9,1922115895.0,213568432.7777778,293384330.0,77790990.0,2606115895.0,289568432.7777778,369695210.0,162790990.0,684000000.0,76000000.0,85000000.0,69000000.0,2.828450723198408,3.911791066666667,0.9151881176470589,7.7333333333333325,9.4,6.6
9,262466740.0,29162971.111111112,202111870.0,-86831317.0,1437466740.0,159718526.66666666,402111870.0,12807139.0,1175000000.0,130555555.55555555,217000000.0,34000000.0,0.11285589222532295,1.01055935,-0.6716118205128205,7.044444444444443,8.0,5.8
9,235389595.0,26154399.444444444,160690539.0,-90181087.0,957389595.0,106376621.66666667,250690539.0,35818913.0,722000000.0,80222222.22222222,140000000.0,31000000.0,0.538367810890754,2.0249153225806453,-0.7157229126984127,7.044444444444444,8.0,6.0
9,330636802.0,36737422.44444445,132157400.0,-37894825.0,557636802.0,61959644.666666664,150157400.0,6105175.0,227000000.0,25222222.222222224,44000000.0,8000000.0,2.16625513535997,7.342077777777778,-0.8612460227272727,6.977777777777778,8.2,6.0
9,39483651.0,4387072.333333333,104360277.0,-89108993.0,1428483651.0,158720405.66666666,304360277.0,34667015.0,1389000000.0,154333333.33333334,250000000.0,32000000.0,0.11887185564238457,0.77383235,-0.356435972,7.355555555555556,8.4,6.0
9,-16905996.0,-3381199.2,14400301.0,-16916462.0,101094004.0,20218800.8,34400301.0,3083538.0,118000000.0,23600000.0,36000000.0,18000000.0,-0.12429406000000003,0.72001505,-0.8458231,6.911111111111111,9.0,4.6
9,331359491.0,41419936.375,100357137.0,-12163718.0,750359491.0,93794936.375,150357137.0,38501125.0,419000000.0,52375000.0,95000000.0,20000000.0,1.1728072600534625,4.2481799,-0.20272863333333332,6.800000000000001,7.6,6.4
9,413208877.0,45912097.44444445,155966634.0,-69477903.0,822208877.0,91356541.8888889,227966634.0,33601190.0,409000000.0,45444444.44444445,130000000.0,5000000.0,4.056016499339303,14.365707222222222,-0.5344454076923076,6.644444444444445,7.6,5.6
9,264530610.0,33066326.25,147049603.0,-33887833.0,751530610.0,93941326.25,217049603.0,17766658.0,487000000.0,60875000.0,200000000.0,30000000.0,0.7724560033908279,3.0416048333333334,-0.40777806666666666,7.2444444444444445,9.0,5.6
9,1922115895.0,213568432.7777778,293384330.0,77790990.0,2606115895.0,289568432.7777778,369695210.0,162790990.0,684000000.0,76000000.0,85000000.0,69000000.0,2.828450723198408,3.911791066666667,0.9151881176470589,7.7333333333333325,9.4,6.6
8,846082534.0,105760316.75,285427292.0,-84048960.0,2089082534.0,261135316.75,379427292.0,15951040.0,1243000000.0,155375000.0,250000000.0,93000000.0,1.0186829951887548,3.0364605531914894,-0.8404896,7.449999999999999,8.2,5.6
8,14610413.0,1826301.625,106393010.0,-135824934.0,909610413.0,113701301.625,256393010.0,39175066.0,895000000.0,111875000.0,175000000.0,40000000.0,0.22395582598958336,2.127390025,-0.77614248,6.95,8.4,6.0
8,372492306.0,46561538.25,291359020.0,-56397624.0,743292306.0,92911538.25,350159020.0,13756082.0,370800000.0,46350000.0,90000000.0,19000000.0,1.1864093682012662,4.95508537414966,-0.6266402666666666,7.449999999999999,8.4,5.8
8,95535898.0,13647985.42857143,120000989.0,-136010512.0,491425898.0,70203699.71428572,145000989.0,7743794.0,395890000.0,56555714.28571428,177200000.0,25000000.0,0.8894294112103832,4.80003956,-0.7675536794582393,7.074999999999999,8.4,6.2
